Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Condition,Google Shopping / Custom Product,Variant Weight Unit,Status
vintage-lace-junk-journal,,,,,,,,Size,Pocket B6,Ruling,5mm Dot Grid,,,JRN-VIN-B6-DOT,280,shopify,25,deny,manual,1249.00,2149.00,TRUE,TRUE,,,,,,,,,,g,active
vintage-lace-junk-journal,,,,,,,,Size,Pocket B6,Ruling,7mm College Ruled,,,JRN-VIN-B6-RUL,280,shopify,25,deny,manual,1249.00,2149.00,TRUE,TRUE,,,,,,,,,,g,active
vintage-lace-junk-journal,,,,,,,,Size,Pocket B6,Ruling,Blank Deckle Cotton,,,JRN-VIN-B6-DEC,280,shopify,25,deny,manual,1349.00,2249.00,TRUE,TRUE,,,,,,,,,,g,active
vintage-lace-junk-journal,,,,,,,,Size,Grand A4,Ruling,5mm Dot Grid,,,JRN-VIN-A4-DOT,680,shopify,25,deny,manual,1749.00,2649.00,TRUE,TRUE,,,,,,,,,,g,active
vintage-lace-junk-journal,,,,,,,,Size,Grand A4,Ruling,7mm College Ruled,,,JRN-VIN-A4-RUL,680,shopify,25,deny,manual,1749.00,2649.00,TRUE,TRUE,,,,,,,,,,g,active
vintage-lace-junk-journal,,,,,,,,Size,Grand A4,Ruling,Blank Deckle Cotton,,,JRN-VIN-A4-DEC,680,shopify,25,deny,manual,1849.00,2749.00,TRUE,TRUE,,,,,,,,,,g,active
personalized-embroidered-linen-journal,Personalized Hand-Embroidered Linen Journal,<p>Delicate oatmeal Belgian linen cover hand-embroidered with pastel wildflowers and custom name/monogram calligraphy stitching.</p><ul><li><strong>Material:</strong> 100% natural oatmeal Belgian linen with DMC silk floss embroidery</li><li><strong>Paper:</strong> 130 GSM archival ivory acid-free paper • Fountain Pen Friendly</li><li><strong>Pages:</strong> 192 numbered pages with satin ribbon marker</li><li><strong>Personalization:</strong> Custom stitched name or initial monogram on cover</li></ul><p><em>Small-batch handcrafted stationery by journaly.</em></p>,journaly,Office Supplies > General Supplies > Paper Products > Notebooks & Notepads,Embroidered Journals,"embroidered journal, personalized notebook, custom name, linen diary, botanical, dorm gift",TRUE,Size,Classic A5,Ruling,5mm Dot Grid,,,JRN-PER-A5-DOT,450,shopify,25,deny,manual,1649.00,2699.00,TRUE,TRUE,,https://raw.githubusercontent.com/notSaiful/girlinpink/main/public/products/journals/embroidered_linen_journal.jpg,1,Personalized Hand-Embroidered Linen Journal,FALSE,Personalized Hand-Embroidered Linen Journal — journaly,Custom embroidered wildflower wreath linen journal with your name. 130 GSM bleed-proof ivory paper.,new,FALSE,g,active
personalized-embroidered-linen-journal,,,,,,,,Size,Classic A5,Ruling,7mm College Ruled,,,JRN-PER-A5-RUL,450,shopify,25,deny,manual,1649.00,2699.00,TRUE,TRUE,,,,,,,,,,g,active
personalized-embroidered-linen-journal,,,,,,,,Size,Classic A5,Ruling,Blank Deckle Cotton,,,JRN-PER-A5-DEC,450,shopify,25,deny,manual,1749.00,2799.00,TRUE,TRUE,,,,,,,,,,g,active
personalized-embroidered-linen-journal,,,,,,,,Size,Pocket B6,Ruling,5mm Dot Grid,,,JRN-PER-B6-DOT,280,shopify,25,deny,manual,1499.00,2549.00,TRUE,TRUE,,,,,,,,,,g,active
personalized-embroidered-linen-journal,,,,,,,,Size,Pocket B6,Ruling,7mm College Ruled,,,JRN-PER-B6-RUL,280,shopify,25,deny,manual,1499.00,2549.00,TRUE,TRUE,,,,,,,,,,g,active
personalized-embroidered-linen-journal,,,,,,,,Size,Pocket B6,Ruling,Blank Deckle Cotton,,,JRN-PER-B6-DEC,280,shopify,25,deny,manual,1599.00,2649.00,TRUE,TRUE,,,,,,,,,,g,active
personalized-embroidered-linen-journal,,,,,,,,Size,Grand A4,Ruling,5mm Dot Grid,,,JRN-PER-A4-DOT,680,shopify,25,deny,manual,1999.00,3049.00,TRUE,TRUE,,,,,,,,,,g,active
personalized-embroidered-linen-journal,,,,,,,,Size,Grand A4,Ruling,7mm College Ruled,,,JRN-PER-A4-RUL,680,shopify,25,deny,manual,1999.00,3049.00,TRUE,TRUE,,,,,,,,,,g,active
personalized-embroidered-linen-journal,,,,,,,,Size,Grand A4,Ruling,Blank Deckle Cotton,,,JRN-PER-A4-DEC,680,shopify,25,deny,manual,2099.00,3149.00,TRUE,TRUE,,,,,,,,,,g,active
personalized-katakana-cherry-blossom-notebook,Personalized Katakana Cherry Blossom Notebook,<p>Japanese sakura blossom minimalist aesthetic notebook stamped with your custom English name translated into Katakana in rose gold foil.</p><ul><li><strong>Material:</strong> 350 GSM soft-touch matte velvet cardstock with rose gold foil</li><li><strong>Paper:</strong> 120 GSM ultra-smooth Japanese Daiei ivory paper (Smooth gliding)</li><li><strong>Pages:</strong> 160 pages with twin wire-o spiral binding</li><li><strong>Personalization:</strong> Custom name foil-embossed vertically in Japanese Katakana</li></ul><p><em>Small-batch handcrafted stationery by journaly.</em></p>,journaly,Office Supplies > General Supplies > Paper Products > Notebooks & Notepads,Spiral Notebooks,"katakana notebook, personalized japanese stationery, sakura cherry blossom, gold foil, spiral journal",TRUE,Size,Classic A5,Ruling,5mm Dot Grid,,,JRN-PER-A5-DOT,450,shopify,25,deny,manual,999.00,1699.00,TRUE,TRUE,,https://raw.githubusercontent.com/notSaiful/girlinpink/main/public/products/journals/katakana_cherry_blossom.jpg,1,Personalized Katakana Cherry Blossom Notebook,FALSE,Personalized Katakana Cherry Blossom Notebook — journaly,Custom English name embossed in vertical Japanese Katakana with metallic rose-gold foil. Smooth Japanese ivory paper.,new,FALSE,g,active
personalized-katakana-cherry-blossom-notebook,,,,,,,,Size,Classic A5,Ruling,7mm College Ruled,,,JRN-PER-A5-RUL,450,shopify,25,deny,manual,999.00,1699.00,TRUE,TRUE,,,,,,,,,,g,active
personalized-katakana-cherry-blossom-notebook,,,,,,,,Size,Classic A5,Ruling,Blank Deckle Cotton,,,JRN-PER-A5-DEC,450,shopify,25,deny,manual,1099.00,1799.00,TRUE,TRUE,,,,,,,,,,g,active
personalized-katakana-cherry-blossom-notebook,,,,,,,,Size,Pocket B6,Ruling,5mm Dot Grid,,,JRN-PER-B6-DOT,280,shopify,25,deny,manual,849.00,1549.00,TRUE,TRUE,,,,,,,,,,g,active
personalized-katakana-cherry-blossom-notebook,,,,,,,,Size,Pocket B6,Ruling,7mm College Ruled,,,JRN-PER-B6-RUL,280,shopify,25,deny,manual,849.00,1549.00,TRUE,TRUE,,,,,,,,,,g,active
personalized-katakana-cherry-blossom-notebook,,,,,,,,Size,Pocket B6,Ruling,Blank Deckle Cotton,,,JRN-PER-B6-DEC,280,shopify,25,deny,manual,949.00,1649.00,TRUE,TRUE,,,,,,,,,,g,active
personalized-katakana-cherry-blossom-notebook,,,,,,,,Size,Grand A4,Ruling,5mm Dot Grid,,,JRN-PER-A4-DOT,680,shopify,25,deny,manual,1349.00,2049.00,TRUE,TRUE,,,,,,,,,,g,active
personalized-katakana-cherry-blossom-notebook,,,,,,,,Size,Grand A4,Ruling,7mm College Ruled,,,JRN-PER-A4-RUL,680,shopify,25,deny,manual,1349.00,2049.00,TRUE,TRUE,,,,,,,,,,g,active
personalized-katakana-cherry-blossom-notebook,,,,,,,,Size,Grand A4,Ruling,Blank Deckle Cotton,,,JRN-PER-A4-DEC,680,shopify,25,deny,manual,1449.00,2149.00,TRUE,TRUE,,,,,,,,,,g,active
personalized-daily-reflection-gratitude-planner,Personalized Daily Reflection & Gratitude Planner,"<p>An intentional 6-month undated reflection and wellness planner bound in pebble vegan leather with personalized gold calligraphy name stamping.</p><ul><li><strong>Material:</strong> Dusty rose vegan pebble leather with gold foil stamping</li><li><strong>Paper:</strong> 140 GSM thick bleed-proof archival writing paper with gilded edges</li><li><strong>Pages:</strong> 224 guided reflection pages, habit trackers, and gratitude prompts</li><li><strong>Personalization:</strong> Custom initials or full name stamped in gold calligraphy</li></ul><p><em>Small-batch handcrafted stationery by journaly.</em></p>",journaly,Office Supplies > General Supplies > Paper Products > Notebooks & Notepads,Planners & Agendas,"gratitude planner, daily reflection, wellness journal, habit tracker, vegan leather, gold foil, personalized",TRUE,Size,Classic A5,Ruling,5mm Dot Grid,,,JRN-PER-A5-DOT,450,shopify,25,deny,manual,1349.00,2199.00,TRUE,TRUE,,https://raw.githubusercontent.com/notSaiful/girlinpink/main/public/products/journals/daily_reflection_planner.jpg,1,Personalized Daily Reflection & Gratitude Planner,FALSE,Personalized Daily Reflection & Gratitude Planner — journaly,"Dusty rose vegan leather planner with custom gold name stamping, 6-month undated reflection prompts, and habit trackers.",new,FALSE,g,active
personalized-daily-reflection-gratitude-planner,,,,,,,,Size,Classic A5,Ruling,7mm College Ruled,,,JRN-PER-A5-RUL,450,shopify,25,deny,manual,1349.00,2199.00,TRUE,TRUE,,,,,,,,,,g,active
personalized-daily-reflection-gratitude-planner,,,,,,,,Size,Classic A5,Ruling,Blank Deckle Cotton,,,JRN-PER-A5-DEC,450,shopify,25,deny,manual,1449.00,2299.00,TRUE,TRUE,,,,,,,,,,g,active
personalized-daily-reflection-gratitude-planner,,,,,,,,Size,Pocket B6,Ruling,5mm Dot Grid,,,JRN-PER-B6-DOT,280,shopify,25,deny,manual,1199.00,2049.00,TRUE,TRUE,,,,,,,,,,g,active
personalized-daily-reflection-gratitude-planner,,,,,,,,Size,Pocket B6,Ruling,7mm College Ruled,,,JRN-PER-B6-RUL,280,shopify,25,deny,manual,1199.00,2049.00,TRUE,TRUE,,,,,,,,,,g,active
personalized-daily-reflection-gratitude-planner,,,,,,,,Size,Pocket B6,Ruling,Blank Deckle Cotton,,,JRN-PER-B6-DEC,280,shopify,25,deny,manual,1299.00,2149.00,TRUE,TRUE,,,,,,,,,,g,active
personalized-daily-reflection-gratitude-planner,,,,,,,,Size,Grand A4,Ruling,5mm Dot Grid,,,JRN-PER-A4-DOT,680,shopify,25,deny,manual,1699.00,2549.00,TRUE,TRUE,,,,,,,,,,g,active
personalized-daily-reflection-gratitude-planner,,,,,,,,Size,Grand A4,Ruling,7mm College Ruled,,,JRN-PER-A4-RUL,680,shopify,25,deny,manual,1699.00,2549.00,TRUE,TRUE,,,,,,,,,,g,active
personalized-daily-reflection-gratitude-planner,,,,,,,,Size,Grand A4,Ruling,Blank Deckle Cotton,,,JRN-PER-A4-DEC,680,shopify,25,deny,manual,1799.00,2649.00,TRUE,TRUE,,,,,,,,,,g,active
cozy-valley-farm-habit-journal,Cozy Valley Farm & Habit Journal,"<p>Whimsical cottagecore journal inspired by slow farming games, featuring seasonal crop schedules, daily cozy habit trackers, and cheerful illustrations.</p><ul><li><strong>Material:</strong> Hardcover matte protective laminate with gold wire-o double spiral</li><li><strong>Paper:</strong> 130 GSM bleed-resistant smooth cream paper with vegetable dye ink</li><li><strong>Pages:</strong> 180 pages with full-color illustrated borders and sticker sheet</li><li><strong>Charm:</strong> Laser-engraved natural birch wood watering can charm</li></ul><p><em>Small-batch handcrafted stationery by journaly.</em></p>",journaly,Office Supplies > General Supplies > Paper Products > Notebooks & Notepads,Illustrated Journals,"cozy journal, stardew valley inspired, habit journal, cottagecore, farm tracker, student notebook",TRUE,Size,Classic A5,Ruling,5mm Dot Grid,,,JRN-COZ-A5-DOT,450,shopify,25,deny,manual,1199.00,1899.00,TRUE,TRUE,,https://raw.githubusercontent.com/notSaiful/girlinpink/main/public/products/journals/cozy_valley_farm_journal.jpg,1,Cozy Valley Farm & Habit Journal,FALSE,Cozy Valley Farm & Habit Journal — journaly,"Cottagecore habit and bullet journal with seasonal farm checklists, cute pixel art borders, and 130 GSM bleed-proof cream paper.",new,FALSE,g,active
cozy-valley-farm-habit-journal,,,,,,,,Size,Classic A5,Ruling,7mm College Ruled,,,JRN-COZ-A5-RUL,450,shopify,25,deny,manual,1199.00,1899.00,TRUE,TRUE,,,,,,,,,,g,active
cozy-valley-farm-habit-journal,,,,,,,,Size,Classic A5,Ruling,Blank Deckle Cotton,,,JRN-COZ-A5-DEC,450,shopify,25,deny,manual,1299.00,1999.00,TRUE,TRUE,,,,,,,,,,g,active
cozy-valley-farm-habit-journal,,,,,,,,Size,Pocket B6,Ruling,5mm Dot Grid,,,JRN-COZ-B6-DOT,280,shopify,25,deny,manual,1049.00,1749.00,TRUE,TRUE,,,,,,,,,,g,active
cozy-valley-farm-habit-journal,,,,,,,,Size,Pocket B6,Ruling,7mm College Ruled,,,JRN-COZ-B6-RUL,280,shopify,25,deny,manual,1049.00,1749.00,TRUE,TRUE,,,,,,,,,,g,active
cozy-valley-farm-habit-journal,,,,,,,,Size,Pocket B6,Ruling,Blank Deckle Cotton,,,JRN-COZ-B6-DEC,280,shopify,25,deny,manual,1149.00,1849.00,TRUE,TRUE,,,,,,,,,,g,active
cozy-valley-farm-habit-journal,,,,,,,,Size,Grand A4,Ruling,5mm Dot Grid,,,JRN-COZ-A4-DOT,680,shopify,25,deny,manual,1549.00,2249.00,TRUE,TRUE,,,,,,,,,,g,active
cozy-valley-farm-habit-journal,,,,,,,,Size,Grand A4,Ruling,7mm College Ruled,,,JRN-COZ-A4-RUL,680,shopify,25,deny,manual,1549.00,2249.00,TRUE,TRUE,,,,,,,,,,g,active
cozy-valley-farm-habit-journal,,,,,,,,Size,Grand A4,Ruling,Blank Deckle Cotton,,,JRN-COZ-A4-DEC,680,shopify,25,deny,manual,1649.00,2349.00,TRUE,TRUE,,,,,,,,,,g,active
